hybrid_rank,user_id,username,pp_rank,pp,elo_rank,elo_rating,elo_estimated,otr_rank,otr_rating,otr_estimated,tournaments_played,matches_played,plays,provisional,hybrid_score
60,12434652,Gonzah,226,17497,83,2199,,53,2234,,65,251,11,yes,3.8668763740755976
61,21207816,bored yes,13,25499,184,2120,,79,2147,,4,11,15,yes,3.864378890660545
62,6387149,kusuriya,345,16494,66,2223,,49,2242,,51,207,11,,3.858436644104781
63,12736534,treyarch,428,16055,10,2362,,123,2060,,11,40,41,,3.852544705262301
64,17724014,alfiu,224,17508,31,2278,,99,2108,,52,194,49,,3.8412030988012185
65,9405745,scylla,996,14217,178,2124,,28,2396,,86,382,5,yes,3.8063911362417224
66,2012453,PikaPwn,227,17471,172,2127,,42,2261,,65,274,5,yes,3.8043718084685696
67,9712285,desuqe,218,17558,148,2139,,36,2289,,51,175,38,,3.7982383370468717
68,4581069,etn,217,17561,,2012,yes,61,2193,,46,215,0,,3.796103498014258
69,4908650,im a fancy lad,515,15656,,1974,yes,43,2260,,63,327,0,,3.782976860699355
70,124493,chocomint,132,18682,,2033,yes,75,2157,,13,69,0,,3.78002406940415
71,9052194,Allegrissimo,453,15935,,1980,yes,47,2250,,36,182,0,,3.7749360935189262
72,15293080,clafrelys,112,19139,63,2228,,97,2108,,23,97,6,yes,3.7718177944839546
73,19998548,suntanCTM,521,15612,,1974,yes,46,2255,,62,195,0,,3.754169016219361
74,20120615,Pipipupu997,66,20446,52,2239,,126,2046,,23,64,4,yes,3.7334378758426148
75,15339747,runnysunny,139,18568,26,2290,,139,2022,,51,188,13,,3.73071201436401
76,10073635,dench,325,16625,,1994,yes,58,2206,,23,91,0,,3.710600858804552
77,8799923,Suyong_,48,21317,248,2089,,80,2143,,22,86,11,yes,3.6731959456350074
78,15095811,origin_,430,16049,71,2216,,71,2167,,53,220,25,,3.664534236963341
79,2932510,wuhua,135,18627,,2032,yes,92,2113,,16,87,0,,3.6634844286739385
80,14215850,bunnylikemoney,83,19780,48,2246,,155,1987,,19,70,30,,3.657105856018524
81,21619075,def,67,20387,88,2190,,125,2050,,9,44,8,yes,3.64584730936338
82,4256461,Riot,178,18031,94,2186,,87,2120,,56,174,15,yes,3.6384260498968297
83,13962152,creator,26,23419,80,2204,,217,1924,,22,84,24,yes,3.6378808096202944
84,12952320,aimbotcone,28,23168,129,2152,,147,2002,,17,82,23,yes,3.6335421373167325
85,16139008,sharytory,344,16494,44,2255,,105,2090,,37,122,13,yes,3.62128708706355
86,4682646,maxbireo,307,16792,,1997,yes,72,2166,,16,66,0,,3.605103263009286
87,6090175,lolol235,1156,13921,,1936,yes,38,2271,,79,355,0,,3.602512327156897
88,2558286,Rafis,78,19906,85,2195,,140,2022,,46,193,29,,3.6004021185740247
89,10760701,hexi,91,19626,391,2037,,51,2240,,23,87,18,yes,3.5864572117636424
90,10743390,RafaMat,115,19032,37,2268,,179,1965,,10,34,13,,3.5798131777044824
91,11806306,Zyntex,88,19694,232,2098,,89,2116,,10,46,5,yes,3.5607697280323163
92,1646397,Crystal,1182,13857,279,2071,,32,2381,,77,376,18,,3.53485305001419
93,6304246,puppy,125,18867,139,2144,,109,2083,,56,239,10,yes,3.532486661209081
94,14992852,lil bread,176,18054,23,2296,,208,1930,,1,3,42,,3.5307844244408337
95,11684622,Sh4rq_,290,16961,377,2041,,66,2182,,44,207,2,yes,3.5297619107784097
96,18946207,nekore,274,17057,38,2267,,151,1998,,30,105,18,yes,3.528414360475657
97,7892320,Zeisen Udongein,257,17228,,2006,yes,96,2110,,32,157,0,,3.527990323788061
98,6735738,A L E P H,309,16774,54,2236,,120,2061,,80,254,6,yes,3.5107439352869756
99,13872272,Sobu,395,16214,33,2271,,152,1996,,36,145,45,,3.50895635965566
100,11375251,Amasetic,731,14889,60,2229,,101,2105,,86,419,19,,3.479226741180775
101,10809844,xymbii,331,16571,72,2215,,118,2068,,26,110,9,yes,3.473569044728007
102,13207763,Flameztear,420,16081,55,2234,,130,2038,,96,377,27,yes,3.4701215120499835
103,11243772,strived,146,18440,21,2306,,330,1816,,38,120,83,,3.4474824967940556
104,13380270,Kama,311,16736,113,2167,,107,2088,,55,223,10,yes,3.4312562750133564
105,4585186,Nopekjk,2152,12661,78,2206,,57,2210,,43,228,42,,3.42925319654627
106,4830687,BoshyMan741,606,15260,152,2137,,65,2182,,133,550,56,,3.422112722133093
107,14385814,Tim Kackner,288,16964,,2001,yes,114,2076,,42,179,0,,3.4090625363280163
108,14282987,szedis,967,14289,,1944,yes,68,2179,,63,242,0,,3.3876663221565613
109,1719471,EZChamp,106,19266,,2043,yes,153,1995,,11,40,0,,3.3820433714506812
110,3765989,okinamo,278,17028,,2002,yes,121,2061,,34,189,0,,3.3751649874940055
111,13609904,PinkEyeFan2013,39,22085,82,2204,,306,1831,,11,33,13,yes,3.3719887344231037
112,21811804,Akuma no Tenshi,152,18379,49,2244,,253,1875,,15,55,78,,3.370105740119082
113,8443945,FlasTEH,214,17575,,2012,yes,128,2042,,24,102,0,,3.3695158473052103
114,9993348,ur cute,86,19735,151,2138,,158,1985,,72,276,22,,3.3679028593973817
115,6404583,PLOXARU,15,24975,272,2075,,246,1880,,23,74,7,yes,3.3534444957788203
116,9265990,rng_,902,14403,157,2136,,69,2177,,70,288,15,yes,3.341830926284114
117,12873118,smozhen,31,23020,117,2166,,,1941,yes,0,0,1,yes,3.340028854621179
118,19526828,Icarussy,446,15973,,1981,yes,103,2096,,20,90,0,,3.3361605800653824
119,14919428,Aheo,588,15336,,1968,yes,93,2113,,69,306,0,,3.3352460005899585
120,11198996,A21,357,16438,28,2286,,230,1907,,26,100,13,yes,3.3232370244508416
121,16529875,Wanderio,808,14651,110,2171,,94,2111,,39,165,45,,3.321444931097303
122,8335950,Reedkatt,304,16822,192,2114,,106,2089,,95,459,21,,3.309656716892742
123,12159899,MineFrostID,187,17942,249,2089,,131,2037,,20,89,2,yes,3.308810176604088
